,CREDIT SCORE,FIRST_PAYMENT_DATE,FIRST_TIME_HOMEBUYER_FLAG,MATURITY_DATE,MSA_CODE,MI_PERCENTAGE,NUMBER_OF_UNITS,OCCUPANCY_STATUS,ORIGINAL_CLTV,DTI,ORIGINAL_UPB,ORIGINAL_LTV,ORIGINAL_INTEREST_RATE,CHANNEL,PPM_FLAG,Amortization_type,STATE,PROPERTY TYPE,POSTAL CODE,id_loan,LOAN_PURPOSE,ORIGINAL_LOAN_TERM,NUMBER_BORROWERS,SELLER NAME,Servicer_Name,SUPER CONFORMING FLAG,LSN,PROGRAM INDICATOR,HARP_INDICATOR,PROPERTY_VALUATION_METHOD,IO_INDICATOR
0,776,202103,N,205102,,0,1,P,52,12,68000,52,2.5,R,N,FRM,IL,SF,61300,F21Q11275826,N,360,1,Other sellers,Other servicers,,,9,,3,N
1,746,202103,N,205102,,30,1,P,95,33,76000,95,2.875,R,N,FRM,NY,SF,14800,F21Q11275887,P,360,1,Other sellers,Other servicers,,,9,,2,N
2,760,202103,N,205102,,0,1,P,78,23,206000,78,2.75,R,N,FRM,WI,SF,54400,F21Q11275970,N,360,2,Other sellers,Other servicers,,,9,,1,N
3,722,202103,N,205102,16984.0,25,1,P,89,40,353000,89,2.875,R,N,FRM,IL,PU,60500,F21Q11276042,N,360,2,Other sellers,Other servicers,,,9,,1,N
4,761,202103,N,205102,29020.0,0,1,P,56,50,128000,56,2.75,R,N,FRM,IN,SF,46900,F21Q11276052,C,360,1,Other sellers,Other servicers,,,9,,2,N
5,675,202103,N,203602,,0,1,P,37,27,47000,37,2.625,R,N,FRM,PA,SF,17700,F21Q11276063,N,180,1,Other sellers,Other servicers,,,9,,2,N
6,799,202103,N,205102,17140.0,0,1,P,64,18,290000,64,2.875,R,N,FRM,OH,SF,45100,F21Q11276153,N,360,2,Other sellers,Other servicers,,,9,,1,N
7,785,202103,N,205102,33340.0,0,1,P,75,30,313000,75,2.875,R,N,FRM,WI,SF,53100,F21Q11276176,N,360,2,Other sellers,Other servicers,,,9,,1,N
8,692,202103,N,203602,41180.0,0,1,P,70,32,185000,70,2.875,R,N,FRM,IL,SF,62200,F21Q11276194,C,180,2,Other sellers,Other servicers,,,9,,2,N
9,732,202103,N,205102,,0,1,P,80,17,104000,80,3.125,R,N,FRM,IN,SF,46700,F21Q11276273,N,360,2,Other sellers,Other servicers,,,9,,1,N
10,757,202103,N,204102,26900.0,0,1,P,63,32,180000,63,3.25,R,N,FRM,IN,SF,46000,F21Q11276508,C,240,1,Other sellers,Other servicers,,,9,,2,N
11,809,202103,N,205102,40060.0,0,1,P,69,34,213000,69,2.75,R,N,FRM,VA,SF,23100,F21Q11276577,N,360,1,Other sellers,Other servicers,,,9,,2,N
12,725,202103,N,205102,35614.0,0,1,P,49,24,460000,49,2.875,R,N,FRM,NY,SF,11200,F21Q11276621,C,360,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,1,N
13,720,202103,N,203602,33124.0,0,1,P,39,44,160000,39,2.875,R,N,FRM,FL,SF,33100,F21Q11276689,C,180,2,Other sellers,Other servicers,,,9,,2,N
14,794,202103,N,203602,48620.0,12,1,P,88,29,332000,88,2.25,R,N,FRM,KS,SF,67200,F21Q11276733,N,180,1,Other sellers,Other servicers,,,9,,1,N
15,794,202103,N,203602,,0,1,P,40,19,79000,40,2.125,R,N,FRM,KY,SF,42100,F21Q11277045,C,180,2,Other sellers,Other servicers,,,9,,2,N
16,724,202104,N,203603,41180.0,0,1,P,60,49,282000,60,2.375,R,N,FRM,MO,SF,63300,F21Q11277195,N,180,2,Other sellers,Other servicers,,,9,,2,N
17,749,202103,N,205102,29100.0,0,1,P,80,47,110000,80,2.875,R,N,FRM,WI,SF,54600,F21Q11277198,N,360,2,Other sellers,Other servicers,,,9,,1,N
18,786,202104,N,204103,33460.0,0,1,P,80,21,268000,80,2.875,R,N,FRM,MN,SF,55300,F21Q11277217,C,240,2,Other sellers,U.S. BANK N.A.,,,9,,2,N
19,753,202103,N,205102,,0,1,P,75,30,194000,75,3.0,R,N,FRM,OH,SF,45300,F21Q11277239,C,360,2,Other sellers,Other servicers,,,9,,2,N
20,753,202103,N,205102,21140.0,0,2,I,75,20,60000,75,3.5,R,N,FRM,IN,SF,46500,F21Q11277258,N,360,2,Other sellers,Other servicers,,,9,,2,N
21,781,202103,N,205102,19340.0,0,1,P,60,31,143000,60,2.5,R,N,FRM,IA,PU,52700,F21Q11277344,N,360,1,Other sellers,"PNC BANK, NA",,,9,,1,N
22,767,202103,N,205102,44220.0,0,1,P,42,31,134000,42,2.625,R,N,FRM,OH,SF,45500,F21Q11277491,N,360,2,Other sellers,Other servicers,,,9,,1,N
23,796,202103,N,205102,,0,1,P,57,10,189000,57,2.375,R,N,FRM,OH,SF,45800,F21Q11277537,N,360,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N
24,749,202103,N,203602,39300.0,0,1,P,44,40,120000,44,2.5,C,N,FRM,MA,SF,2700,F21Q11277569,C,180,2,Other sellers,Other servicers,,,9,,2,N
25,720,202103,N,205102,12580.0,25,1,P,86,37,305000,86,2.875,R,N,FRM,MD,PU,21000,F21Q11277764,N,360,1,Other sellers,Other servicers,,,9,,2,N
26,753,202104,N,204103,,0,1,P,78,42,267000,78,2.875,R,N,FRM,IL,SF,61300,F21Q11277887,C,240,2,Other sellers,Other servicers,,,9,,2,N
27,804,202103,N,205102,39300.0,0,1,P,80,43,357000,80,2.75,R,N,FRM,RI,SF,2800,F21Q11278173,N,360,1,Other sellers,Other servicers,,,9,,2,N
28,796,202104,N,204103,38900.0,0,1,P,52,48,334000,52,2.875,R,N,FRM,OR,SF,97200,F21Q11278264,N,240,1,Other sellers,Other servicers,,,9,,1,N
29,690,202104,N,203603,16984.0,0,1,P,80,17,136000,80,2.5,R,N,FRM,IL,SF,60400,F21Q11278837,C,180,2,Other sellers,Other servicers,,,9,,2,N
30,817,202104,N,203603,16984.0,0,1,P,54,15,75000,54,2.25,R,N,FRM,IL,SF,60400,F21Q11278968,N,180,1,Other sellers,Other servicers,,,9,,1,N
31,779,202103,N,205102,11180.0,0,1,P,64,34,350000,64,2.875,R,N,FRM,IA,SF,50100,F21Q11278999,N,360,2,Other sellers,Other servicers,,,9,,2,N
32,794,202103,N,205102,38900.0,0,1,I,34,47,206000,34,3.625,R,N,FRM,OR,SF,97200,F21Q11279089,N,360,1,Other sellers,Other servicers,,,9,,2,N
33,803,202104,N,204103,,0,1,I,68,44,150000,68,3.25,R,N,FRM,MI,CO,49600,F21Q11279176,N,240,1,Other sellers,U.S. BANK N.A.,,,9,,2,N
34,772,202103,N,204102,24660.0,0,1,P,90,35,152000,56,3.0,C,N,FRM,NC,PU,27400,F21Q11279204,N,240,2,Other sellers,Other servicers,,,9,,2,N
35,746,202103,N,204102,,0,1,P,60,23,86000,60,3.0,R,N,FRM,NY,SF,14800,F21Q11279207,C,240,2,Other sellers,Other servicers,,,9,,2,N
36,672,202103,N,204102,38900.0,0,1,P,68,30,421000,68,3.5,R,N,FRM,OR,PU,97200,F21Q11279222,C,240,2,Other sellers,Other servicers,,,9,,1,N
37,812,202103,N,205102,19340.0,0,1,P,79,46,128000,79,2.5,R,N,FRM,IA,SF,52800,F21Q11279309,N,360,1,Other sellers,"PNC BANK, NA",,,9,,1,N
38,682,202103,N,205102,,0,1,P,62,32,280000,62,3.375,R,N,FRM,ME,SF,4500,F21Q11279333,C,360,1,Other sellers,Other servicers,,,9,,2,N
39,797,202103,N,203602,16984.0,0,1,P,63,13,115000,63,2.375,R,N,FRM,IL,SF,60400,F21Q11279393,C,180,2,Other sellers,Other servicers,,,9,,2,N
40,754,202105,N,203604,16984.0,0,1,P,79,23,189000,79,2.25,R,N,FRM,IL,PU,60100,F21Q11279593,N,180,1,Other sellers,Other servicers,,,9,,1,N
41,773,202103,N,205102,41940.0,0,1,P,70,36,735000,70,2.5,R,N,FRM,CA,SF,95000,F21Q11279608,N,360,1,"LOANDEPOT.COM, LLC","LOANDEPOT.COM, LLC",Y,,9,,2,N
42,657,202104,N,205103,12980.0,0,1,P,80,41,152000,80,2.875,R,N,FRM,MI,SF,49000,F21Q11279654,P,360,2,Other sellers,Other servicers,,,9,,2,N
43,740,202103,Y,205102,,0,1,P,80,29,198000,80,2.875,R,N,FRM,NY,SF,14800,F21Q11279746,P,360,1,Other sellers,Other servicers,,,9,,2,N
44,695,202103,N,205102,49660.0,25,1,P,97,37,78000,97,3.5,R,N,FRM,OH,SF,44400,F21Q11279755,P,360,2,Other sellers,Other servicers,,,H,,2,N
45,809,202102,N,205101,,0,1,P,80,46,146000,80,2.75,R,N,FRM,IN,SF,46700,F21Q11279803,P,360,2,Other sellers,Other servicers,,,9,,3,N
46,763,202103,N,203602,,0,1,P,73,11,98000,73,2.5,R,N,FRM,OH,SF,43500,F21Q11279811,C,180,2,Other sellers,Other servicers,,,9,,2,N
47,800,202103,N,203102,47664.0,0,1,P,60,25,144000,60,2.75,R,N,FRM,MI,SF,48800,F21Q11279849,C,120,2,Other sellers,Other servicers,,,9,,2,N
48,734,202103,N,203602,,0,1,I,80,25,60000,80,2.875,R,N,FRM,IL,SF,61300,F21Q11279870,P,180,2,Other sellers,Other servicers,,,9,,2,N
49,707,202103,N,204102,14260.0,0,1,P,52,38,241000,52,2.875,R,N,FRM,ID,SF,83600,F21Q11279942,N,240,1,Other sellers,Other servicers,,,9,,1,N
50,690,202104,N,205103,39300.0,0,1,P,69,44,310000,69,3.125,C,N,FRM,MA,SF,2700,F21Q11279980,C,360,1,Other sellers,Other servicers,,,9,,1,N
51,781,202104,N,203603,36540.0,0,1,P,54,22,135000,54,2.125,R,N,FRM,NE,PU,68100,F21Q11279984,N,180,1,Other sellers,Other servicers,,,9,,1,N
52,818,202104,N,203603,41180.0,0,1,P,57,24,361000,43,2.5,R,N,FRM,MO,SF,63100,F21Q11280018,N,180,1,Other sellers,Other servicers,,,9,,1,N
53,747,202103,N,203602,47894.0,0,1,P,59,48,235000,59,2.25,R,N,FRM,VA,SF,20100,F21Q11280087,N,180,2,Other sellers,"PNC BANK, NA",,,9,,1,N
54,705,202104,N,205103,,12,1,P,85,44,238000,85,3.0,R,N,FRM,HI,SF,96700,F21Q11280353,P,360,1,Other sellers,Other servicers,,,9,,2,N
55,788,202103,N,205102,19780.0,0,1,P,75,26,347000,75,2.75,R,N,FRM,IA,SF,50100,F21Q11280474,N,360,2,Other sellers,Other servicers,,,9,,1,N
56,753,202103,N,205102,,0,1,P,75,34,159000,75,3.0,R,N,FRM,ME,SF,4800,F21Q11280494,P,360,2,Other sellers,Other servicers,,,9,,2,N
57,809,202104,N,203603,,0,1,P,35,24,119000,35,2.75,R,N,FRM,IN,SF,46700,F21Q11280552,C,180,2,Other sellers,Other servicers,,,9,,2,N
58,720,202104,N,205103,,0,1,P,75,30,175000,75,2.875,R,N,FRM,KY,SF,40400,F21Q11280554,C,360,1,Other sellers,U.S. BANK N.A.,,,9,,2,N
59,731,202103,N,205102,40340.0,0,1,P,80,32,180000,80,2.875,R,N,FRM,MN,SF,55900,F21Q11280808,P,360,1,Other sellers,Other servicers,,,9,,2,N
60,799,202103,N,205102,,30,1,P,95,41,171000,95,2.625,R,N,FRM,KY,SF,42100,F21Q11280984,P,360,1,Other sellers,Other servicers,,,9,,2,N
61,781,202105,N,203604,,0,1,P,42,36,326000,42,2.125,R,N,FRM,MT,SF,59900,F21Q11281049,N,180,2,Other sellers,Other servicers,,,9,,2,N
62,710,202103,N,205102,21300.0,0,1,P,77,31,110000,77,2.875,R,N,FRM,NY,SF,14900,F21Q11281238,N,360,1,Other sellers,Other servicers,,,9,,2,N
63,806,202104,N,204103,24660.0,0,1,P,74,33,99000,74,2.875,C,N,FRM,NC,PU,27400,F21Q11281603,N,240,1,Other sellers,Other servicers,,,9,,2,N
64,784,202103,N,203102,12060.0,0,1,P,40,17,200000,40,2.375,R,N,FRM,GA,SF,30200,F21Q11281611,N,120,2,Other sellers,Other servicers,,,9,,2,N
65,700,202103,N,205102,23844.0,0,1,P,68,28,231000,68,2.875,R,N,FRM,IN,SF,47900,F21Q11281614,N,360,2,Other sellers,Other servicers,,,9,,1,N
66,803,202103,N,205102,,0,1,P,71,21,135000,71,2.75,R,N,FRM,MI,SF,48400,F21Q11281691,N,360,1,Other sellers,Other servicers,,,9,,2,N
67,772,202103,N,205102,18140.0,30,1,P,95,25,271000,95,2.75,R,N,FRM,OH,SF,43000,F21Q11281780,P,360,2,Other sellers,Other servicers,,,9,,2,N
68,660,202103,Y,205102,45820.0,30,1,P,95,9,38000,95,3.5,R,N,FRM,KS,SF,66600,F21Q11281977,P,360,3,Other sellers,Other servicers,,,9,,2,N
69,771,202103,N,205102,,0,1,P,61,26,109000,61,2.75,R,N,FRM,NH,SF,3200,F21Q11282151,N,360,2,Other sellers,Other servicers,,,9,,1,N
70,699,202103,N,203602,14540.0,0,1,P,60,32,210000,60,2.125,R,N,FRM,KY,SF,42100,F21Q11282264,N,180,1,Other sellers,Other servicers,,,9,,2,N
71,723,202104,Y,204103,21300.0,12,1,P,90,15,148000,90,2.625,R,N,FRM,NY,SF,14900,F21Q11282273,P,240,2,Other sellers,Other servicers,,,9,,2,N
72,707,202103,Y,205102,33340.0,25,1,P,95,28,139000,95,2.875,R,N,FRM,WI,SF,53200,F21Q11282390,P,360,1,Other sellers,Other servicers,,,H,,2,N
73,693,202103,N,204102,38060.0,0,1,P,57,45,326000,57,2.625,R,N,FRM,AZ,PU,85000,F21Q11282432,N,240,1,Other sellers,Other servicers,,,9,,1,N
74,706,202104,N,204103,38900.0,0,1,P,55,23,183000,55,2.875,R,N,FRM,OR,SF,97200,F21Q11282498,C,240,1,Other sellers,Other servicers,,,9,,2,N
75,786,202104,N,205103,41180.0,0,1,P,72,41,338000,72,2.875,R,N,FRM,IL,SF,62000,F21Q11282562,C,360,1,Other sellers,Other servicers,,,9,,2,N
76,815,202103,N,205102,24340.0,0,1,P,50,19,250000,50,2.75,R,N,FRM,MI,CO,49500,F21Q11282613,P,360,2,Other sellers,Other servicers,,,9,,2,N
77,771,202103,N,203602,18020.0,0,1,P,73,19,106000,73,2.375,R,N,FRM,IN,SF,47200,F21Q11282618,N,180,2,Other sellers,Other servicers,,,9,,2,N
78,799,202103,N,204102,17140.0,0,1,P,45,25,62000,45,2.75,R,N,FRM,KY,SF,41000,F21Q11282624,N,240,1,Other sellers,Other servicers,,,9,,1,N
79,798,202104,N,203103,31540.0,0,1,P,46,19,208000,46,2.25,R,N,FRM,WI,SF,53500,F21Q11282671,N,120,2,Other sellers,Other servicers,,,9,,2,N
80,785,202103,N,205102,,0,1,P,28,16,190000,28,2.75,R,N,FRM,WA,SF,98300,F21Q11282894,N,360,2,Other sellers,Other servicers,,,9,,2,N
81,704,202103,N,205102,38900.0,0,1,P,80,35,368000,80,3.125,R,N,FRM,OR,SF,97000,F21Q11283152,N,360,2,Other sellers,Other servicers,,,9,,2,N
82,737,202103,N,205102,43580.0,0,1,P,77,38,85000,77,2.875,R,N,FRM,IA,SF,51100,F21Q11283155,N,360,2,Other sellers,Other servicers,,,9,,1,N
83,708,202103,N,205102,,30,1,P,95,34,138000,95,2.875,R,N,FRM,KS,SF,67400,F21Q11283211,P,360,2,Other sellers,Other servicers,,,9,,2,N
84,701,202103,N,205102,,0,1,I,63,20,41000,63,3.125,R,N,FRM,OH,SF,43500,F21Q11283229,N,360,2,Other sellers,Other servicers,,,9,,2,N
85,801,202103,N,205102,,0,1,P,62,24,258000,62,2.75,R,N,FRM,MI,SF,49600,F21Q11283289,C,360,1,Other sellers,Other servicers,,,9,,1,N
86,762,202103,N,203102,,0,1,P,53,12,132000,53,2.25,R,N,FRM,IN,SF,46700,F21Q11283292,C,120,2,Other sellers,Other servicers,,,9,,2,N
87,778,202105,N,204104,,0,1,S,50,7,180000,50,2.875,R,N,FRM,ME,SF,4600,F21Q11283566,N,240,2,Other sellers,Other servicers,,,9,,2,N
88,785,202104,N,203603,29200.0,0,1,P,70,27,400000,70,2.125,R,N,FRM,IN,SF,47900,F21Q11283571,C,180,2,Other sellers,Other servicers,,,9,,1,N
89,724,202103,N,205102,38900.0,0,1,P,60,27,291000,60,2.875,R,N,FRM,OR,SF,97000,F21Q11283651,N,360,2,Other sellers,Other servicers,,,9,,1,N
90,734,202104,N,203603,,0,1,P,71,35,100000,71,2.25,R,N,FRM,IL,SF,61400,F21Q11284051,P,180,2,Other sellers,Other servicers,,,9,,2,N
91,808,202103,N,203602,,0,1,P,80,23,180000,80,1.875,R,N,FRM,KS,SF,67400,F21Q11284192,N,180,1,Other sellers,Other servicers,,,9,,1,N
92,701,202104,N,204103,41180.0,0,1,P,68,30,209000,68,2.875,R,N,FRM,IL,SF,62200,F21Q11284229,N,240,2,Other sellers,Other servicers,,,9,,1,N
93,716,202104,N,203603,33340.0,0,1,P,75,31,124000,75,2.25,R,N,FRM,WI,SF,53200,F21Q11284349,N,180,2,Other sellers,Other servicers,,,9,,1,N
94,680,202103,Y,205102,,30,1,P,95,33,128000,95,2.75,R,N,FRM,OH,SF,43400,F21Q11284378,P,360,2,Other sellers,Other servicers,,,9,,2,N
95,751,202104,N,205103,24340.0,0,1,S,59,23,492000,59,2.875,R,N,FRM,MI,SF,49400,F21Q11284514,N,360,1,Other sellers,Other servicers,,,9,,1,N
96,785,202105,N,205104,16984.0,0,1,P,79,48,363000,79,2.625,R,N,FRM,IL,SF,60000,F21Q11284601,N,360,1,Other sellers,Other servicers,,,9,,1,N
97,790,202104,N,205103,30460.0,0,1,P,75,24,268000,75,2.625,R,N,FRM,KY,SF,40500,F21Q11284665,N,360,1,Other sellers,"PNC BANK, NA",,,9,,1,N
98,800,202103,N,205102,39300.0,0,1,P,54,13,393000,54,2.75,R,N,FRM,MA,SF,2700,F21Q11284730,C,360,2,Other sellers,Other servicers,,,9,,2,N
99,742,202104,N,204103,14454.0,0,1,I,52,43,160000,52,3.5,R,N,FRM,MA,CO,2300,F21Q11284823,C,240,1,Other sellers,Other servicers,,,9,,2,N
100,731,202103,Y,205102,16984.0,25,1,P,95,40,71000,95,2.625,R,N,FRM,IL,SF,60400,F21Q11284859,P,360,1,Other sellers,Other servicers,,,9,,2,N
101,776,202104,N,203603,31540.0,0,1,P,68,43,548000,58,2.25,R,N,FRM,WI,SF,53500,F21Q11284882,C,180,2,Other sellers,Other servicers,,,9,,2,N
102,789,202103,N,203602,,0,1,P,44,32,100000,44,2.0,R,N,FRM,WY,SF,82400,F21Q11284950,C,180,1,Other sellers,Other servicers,,,9,,2,N
103,670,202105,N,204104,,0,1,P,67,42,87000,67,3.375,R,N,FRM,IN,SF,47300,F21Q11285073,C,240,1,Other sellers,Other servicers,,,9,,2,N
104,771,202103,N,204102,,0,1,P,69,19,79000,69,2.5,R,N,FRM,MI,SF,49800,F21Q11285077,N,240,1,Other sellers,"PNC BANK, NA",,,9,,1,N
105,773,202104,N,203603,,0,1,P,55,19,548000,55,2.375,R,N,FRM,VA,SF,22500,F21Q11285103,C,180,2,Other sellers,Other servicers,,,9,,1,N
106,761,202103,N,203602,,0,1,P,71,43,432000,71,2.375,R,N,FRM,MI,SF,48800,F21Q11285168,N,180,1,Other sellers,Other servicers,,,9,,2,N
107,709,202103,N,205102,24340.0,0,1,P,80,28,114000,80,3.125,R,N,FRM,MI,SF,49400,F21Q11285193,N,360,1,Other sellers,Other servicers,,,9,,1,N
108,798,202103,N,205102,28100.0,0,1,P,76,21,93000,76,2.81,R,N,FRM,IL,SF,60900,F21Q11285207,N,360,1,Other sellers,Other servicers,,,9,,2,N
109,747,202103,Y,205102,24660.0,35,1,P,97,39,155000,97,2.875,C,N,FRM,NC,SF,27400,F21Q11285293,P,360,1,Other sellers,Other servicers,,,9,,2,N
110,765,202104,N,205103,24340.0,0,1,P,58,48,390000,58,2.875,R,N,FRM,MI,SF,49500,F21Q11285400,N,360,2,Other sellers,Other servicers,,,9,,1,N
111,653,202104,N,203603,17140.0,0,1,P,46,14,160000,46,2.375,R,N,FRM,OH,SF,45000,F21Q11285418,N,180,1,Other sellers,Other servicers,,,9,,1,N
112,776,202105,N,205104,46300.0,0,1,P,62,40,443000,62,3.125,R,N,FRM,ID,SF,83300,F21Q11285478,N,360,2,Other sellers,Other servicers,,,9,,1,N
113,771,202104,N,204103,40420.0,0,1,P,77,13,343000,77,2.5,R,N,FRM,IL,SF,61000,F21Q11285522,N,240,2,Other sellers,Other servicers,,,9,,2,N
114,760,202104,N,205103,38900.0,0,1,P,70,43,293000,70,2.875,R,N,FRM,OR,SF,97000,F21Q11285602,N,360,1,Other sellers,Other servicers,,,9,,1,N
115,797,202104,N,203603,12940.0,0,1,P,71,18,151000,71,2.375,R,N,FRM,LA,SF,70700,F21Q11285696,N,180,1,Other sellers,"PNC BANK, NA",,,9,,1,N
116,798,202105,N,205104,,0,1,P,80,29,117000,80,2.5,R,N,FRM,IA,SF,50500,F21Q11285709,P,360,2,Other sellers,Other servicers,,,9,,2,N
117,693,202103,N,205102,29200.0,12,1,P,83,35,161000,83,2.75,R,N,FRM,IN,SF,47900,F21Q11286064,N,360,1,Other sellers,Other servicers,,,9,,1,N
118,767,202103,N,204102,38900.0,12,1,P,88,46,393000,88,2.75,R,N,FRM,OR,PU,97000,F21Q11286085,N,240,1,Other sellers,Other servicers,,,9,,1,N
119,691,202104,N,205103,16984.0,0,1,P,46,48,512000,46,2.75,R,N,FRM,IL,SF,60000,F21Q11286171,N,360,2,Other sellers,Other servicers,,,9,,2,N
120,744,202105,N,203104,,0,1,P,58,24,130000,58,2.375,R,N,FRM,NY,SF,14800,F21Q11286281,C,120,2,Other sellers,Other servicers,,,9,,2,N
121,804,202105,N,205104,29200.0,0,1,P,57,48,365000,57,2.5,R,N,FRM,IN,PU,47900,F21Q11286298,N,360,2,Other sellers,Other servicers,,,9,,2,N
122,790,202103,Y,205102,17900.0,35,1,P,97,18,157000,97,2.875,R,N,FRM,SC,PU,29000,F21Q11286305,P,360,1,Other sellers,"PNC BANK, NA",,,9,,2,N
123,721,202103,N,205102,31140.0,0,1,P,80,31,243000,80,2.75,R,N,FRM,KY,SF,40200,F21Q11286306,C,360,2,Other sellers,Other servicers,,,9,,2,N
124,818,202103,N,205102,,25,1,P,88,30,145000,88,3.375,R,N,FRM,KY,SF,40400,F21Q11286468,P,360,1,Other sellers,Other servicers,,,9,,2,N
125,676,202104,N,203603,,25,1,P,92,34,114000,92,2.25,C,N,FRM,MO,SF,63600,F21Q11286551,N,180,2,Other sellers,"PNC BANK, NA",,,9,,2,N
126,770,202104,N,205103,16984.0,0,1,P,58,21,172000,58,2.75,R,N,FRM,IL,SF,60400,F21Q11286831,N,360,2,Other sellers,Other servicers,,,9,,1,N
127,783,202104,N,205103,38900.0,0,1,P,44,40,212000,44,2.75,R,N,FRM,OR,SF,97200,F21Q11286975,C,360,2,Other sellers,Other servicers,,,9,,1,N
128,791,202104,N,203103,24340.0,0,1,P,58,29,162000,58,2.125,R,N,FRM,MI,SF,49400,F21Q11287056,C,120,1,Other sellers,Other servicers,,,9,,2,N
129,716,202105,N,203104,31140.0,0,1,P,59,42,110000,59,2.25,R,N,FRM,IN,SF,47100,F21Q11287202,C,120,2,Other sellers,Other servicers,,,9,,2,N
130,810,202103,N,205102,42540.0,25,1,P,97,25,99000,97,2.75,R,N,FRM,PA,SF,18600,F21Q11287204,P,360,1,Other sellers,Other servicers,,,H,,2,N
131,760,202103,N,205102,41100.0,30,1,P,95,22,523000,95,2.375,R,N,FRM,UT,SF,84700,F21Q11287372,P,360,2,Other sellers,Other servicers,,,9,,2,N
132,723,202103,N,205102,18140.0,0,1,P,80,21,174000,80,2.75,R,N,FRM,OH,CO,43000,F21Q11287412,P,360,1,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,1,N
133,778,202105,N,203104,,0,1,I,80,36,38000,80,2.375,R,N,FRM,IL,SF,61900,F21Q11287415,P,120,1,Other sellers,Other servicers,,,9,,2,N
134,758,202103,N,205102,43300.0,0,2,I,75,38,191000,75,3.125,R,N,FRM,TX,SF,75000,F21Q11287734,P,360,1,Other sellers,Other servicers,,,9,,2,N
135,710,202103,Y,205102,45460.0,30,1,P,95,48,93000,95,3.0,R,N,FRM,IN,SF,47800,F21Q11287737,P,360,2,Other sellers,Other servicers,,,9,,2,N
136,690,202103,Y,205102,,0,1,P,80,23,77000,80,3.0,R,N,FRM,OH,SF,45300,F21Q11287800,P,360,2,Other sellers,Other servicers,,,9,,2,N
137,765,202104,N,203603,13460.0,0,1,P,40,26,194000,40,2.375,R,N,FRM,OR,SF,97700,F21Q11287815,N,180,2,Other sellers,Other servicers,,,9,,1,N
138,790,202103,N,204006,16740.0,0,1,P,67,30,199000,67,2.125,R,N,FRM,NC,CO,28200,F21Q11287819,N,232,1,Other sellers,Other servicers,,,9,,1,N
139,737,202103,Y,205102,19124.0,0,1,P,59,39,140000,59,2.625,R,N,FRM,TX,PU,75000,F21Q11287903,P,360,1,Other sellers,Other servicers,,,9,,1,N
140,791,202103,N,205102,27100.0,0,1,I,75,47,180000,75,3.0,R,N,FRM,MI,SF,49200,F21Q11288010,P,360,1,Other sellers,Other servicers,,,9,,2,N
141,808,202103,N,205102,41620.0,0,1,I,47,21,158000,47,3.125,R,N,FRM,UT,CO,84000,F21Q11288020,N,360,1,Other sellers,Other servicers,,,9,,2,N
142,758,202103,Y,205102,,0,1,P,80,11,220000,80,2.5,R,N,FRM,IA,SF,52000,F21Q11288052,P,360,2,Other sellers,Other servicers,,,9,,1,N
143,722,202105,N,205104,17900.0,0,1,P,48,30,175000,48,2.75,R,N,FRM,SC,SF,29200,F21Q11288201,C,360,2,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N
144,753,202103,N,205102,41620.0,0,4,I,57,43,505000,57,3.625,R,N,FRM,UT,PU,84000,F21Q11288233,N,360,1,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N
145,817,202103,N,205102,34940.0,0,1,P,80,43,412000,80,3.0,R,N,FRM,FL,CO,34100,F21Q11288575,P,360,1,Other sellers,Other servicers,,,9,,2,N
146,729,202104,N,205103,26900.0,30,1,P,95,37,128000,95,3.0,R,N,FRM,IN,SF,47400,F21Q11288613,P,360,2,Other sellers,Other servicers,,,9,,2,N
147,672,202103,N,203602,19780.0,0,1,P,49,33,175000,49,2.25,R,N,FRM,IA,SF,50100,F21Q11288627,N,180,1,Other sellers,Other servicers,,,9,,1,N
148,626,202103,N,205102,40980.0,0,1,P,38,44,86000,38,3.625,R,N,FRM,MI,SF,48400,F21Q11288693,N,360,1,"QUICKEN LOANS, LLC","ROCKET MORTGAGE, LLC",,,9,,1,N
149,798,202102,N,205101,36740.0,0,1,P,60,35,296000,60,2.875,R,N,FRM,FL,SF,32800,F21Q11288776,N,360,2,"QUICKEN LOANS, LLC","ROCKET MORTGAGE, LLC",,,9,,1,N
150,707,202103,N,205102,47664.0,25,1,P,97,43,112000,97,2.99,R,N,FRM,MI,SF,48000,F21Q11288989,P,360,1,"QUICKEN LOANS, LLC","ROCKET MORTGAGE, LLC",,,H,,3,N
151,712,202103,N,205102,41180.0,12,1,P,83,25,178000,83,3.625,R,N,FRM,MO,SF,63000,F21Q11289134,N,360,2,Other sellers,Other servicers,,,9,,1,N
152,787,202104,N,203603,,0,1,P,45,18,135000,45,2.125,C,N,FRM,OH,SF,44600,F21Q11289144,N,180,1,Other sellers,"PNC BANK, NA",,,9,,2,N
