,CREDIT SCORE,FIRST_PAYMENT_DATE,FIRST_TIME_HOMEBUYER_FLAG,MATURITY_DATE,MSA_CODE,MI_PERCENTAGE,NUMBER_OF_UNITS,OCCUPANCY_STATUS,ORIGINAL_CLTV,DTI,ORIGINAL_UPB,ORIGINAL_LTV,ORIGINAL_INTEREST_RATE,CHANNEL,PPM_FLAG,Amortization_type,STATE,PROPERTY TYPE,POSTAL CODE,id_loan,LOAN_PURPOSE,ORIGINAL_LOAN_TERM,NUMBER_BORROWERS,SELLER NAME,Servicer_Name,SUPER CONFORMING FLAG,LSN,PROGRAM INDICATOR,HARP_INDICATOR,PROPERTY_VALUATION_METHOD,IO_INDICATOR
3645,796,202103,N,205102,34980.0,0,1,S,66,38,248000,66,2.625,C,N,FRM,TN,PU,37200,F21Q11637134,N,360,1,"AMERIHOME MORTGAGE COMPANY, LLC",PHH MORTGAGE CORPORATION,,,9,,1,N
3646,808,202103,N,205102,49180.0,0,1,P,72,28,466000,72,2.625,C,N,FRM,NC,SF,27100,F21Q11637407,N,360,1,"AMERIHOME MORTGAGE COMPANY, LLC",PHH MORTGAGE CORPORATION,,,9,,2,N
3647,710,202104,Y,205103,39300.0,35,1,P,97,28,165000,97,3.25,R,N,FRM,RI,SF,2800,F21Q11637491,P,360,1,Other sellers,Other servicers,,,9,,2,N
3648,808,202104,N,205103,41620.0,0,1,P,54,40,324000,54,2.908,B,N,FRM,UT,SF,84000,F21Q11637636,N,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N
3649,742,202104,N,205103,40140.0,0,1,P,69,30,400000,69,2.875,B,N,FRM,CA,SF,91700,F21Q11637699,C,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N
3650,811,202104,N,205103,38060.0,0,1,P,47,25,262000,47,2.75,B,N,FRM,AZ,PU,85200,F21Q11637799,C,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N
3651,715,202104,N,205103,42200.0,0,1,P,75,30,559000,75,2.875,B,N,FRM,CA,SF,93400,F21Q11637822,N,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",Y,,9,,1,N
3652,767,202103,N,205102,43620.0,0,1,P,73,35,279000,73,2.5,C,N,FRM,SD,SF,57100,F21Q11637998,N,360,2,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N
3653,730,202103,Y,205102,22220.0,25,1,P,90,48,280000,90,2.375,C,N,FRM,AR,PU,72700,F21Q11638011,P,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N
3654,804,202103,N,205102,41180.0,0,1,P,80,36,377000,80,2.5,C,N,FRM,MO,PU,63000,F21Q11638052,N,360,1,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,1,N
3655,762,202105,N,205104,23060.0,0,1,P,80,46,131000,80,2.75,R,N,FRM,IN,SF,46800,F21Q11638099,P,360,2,Other sellers,Other servicers,,,9,,2,N
